"Class","Sex","Age","Survived"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"2nd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"3rd","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
"Crew","Male","Adult","Died"
