"Institution","City","State","ZIP","Highest_Degree","Region","Longitude","Latitude","Type","HBCU","HSI","Religious","Adm_Rate","Med_ACT","Enrollment","P_White","P_Black","P_Hispanic","P_Asian","P_Female","P_Pell","Med_Grad_Debt","Avg_Fac_Salary","Ret_Rate","Med_Grad_Earnings_4Y"
"Cornell University","Ithaca","NY","14853","Graduate","Mid_Atlantic",-76.483084,42.4472,"Private_non_profit","No","No","Yes",0.0747,34,15676,0.3283,0.0734,0.1474,0.2341,0.5448,0.1771,"14000",16314,0.9666,90531
"D'Youville  University","Buffalo","NY","14201-1084","Graduate","Mid_Atlantic",-78.890868,42.902636,"Private_non_profit","No","No","Yes",0.8404,21,1372,0.5605,0.1545,0.0561,0.0794,0.7471,0.3826,"25000",8041,0.8601,68502
"Fordham University","Bronx","NY","10458","Graduate","Mid_Atlantic",-73.882705,40.859354,"Private_non_profit","No","No","No",0.5413,32,9843,0.5032,0.0539,0.184,0.1333,0.6021,0.2099,"24300",14949,0.877,70485
"Hamilton College","Clinton","NY","13323","Bachelors","Mid_Atlantic",-75.408195,43.050245,"Private_non_profit","No","No","Yes",0.1178,34,2071,0.6451,0.0314,0.0951,0.0903,0.5519,0.182,"17000",12129,0.9512,65661
"Hartwick College","Oneonta","NY","13820-4020","Graduate","Mid_Atlantic",-75.071994,42.457599,"Private_non_profit","No","No","Yes",0.5972,22,1085,0.5825,0.1447,0.0986,0.0221,0.5853,0.3512,"27000",7710,0.6908,52799
"Hobart William Smith Colleges","Geneva","NY","14456","Graduate","Mid_Atlantic",-76.985516,42.858131,"Private_non_profit","No","No","Yes",0.6838,31,1539,0.6634,0.0689,0.0929,0.0234,0.5094,0.2355,"27000",9539,0.8661,60956
"Hofstra University","Hempstead","NY","11549","Graduate","Mid_Atlantic",-73.60078,40.715959,"Private_non_profit","No","No","Yes",0.6933,28,6051,0.5057,0.0901,0.1621,0.1395,0.5693,0.233,"23621",14202,0.8312,62777
"Iona University","New Rochelle","NY","10801-1890","Graduate","Mid_Atlantic",-73.788046,40.925725,"Private_non_profit","No","Yes","No",0.964,26,2633,0.4979,0.0976,0.2829,0.0228,0.5234,0.3057,"25999",10347,0.7948,60364
"Ithaca College","Ithaca","NY","14850-7002","Graduate","Mid_Atlantic",-76.494136,42.422154,"Private_non_profit","No","No","Yes",0.752,30,4601,0.7214,0.0528,0.1011,0.0367,0.5503,0.1965,"24000",9290,0.832,51468
"Keuka College","Keuka Park","NY","14478","Graduate","Mid_Atlantic",-77.090562,42.615253,"Private_non_profit","No","No","Yes",0.9279,19,983,0.8016,0.0529,0.059,0.0081,0.7487,0.4258,"27000",6118,0.6348,55473
"LIM College","New York","NY","10022-5268","Graduate","Mid_Atlantic",-73.975054,40.759865,"Private_for_profit","No","No","Yes",0.8382,20,1075,0.3879,0.2242,0.2112,0.0726,0.8958,0.3687,"24000",6674,0.6649,54989
"Le Moyne College","Syracuse","NY","13214-1301","Graduate","Mid_Atlantic",-76.090435,43.049192,"Private_non_profit","No","No","No",0.7828,28,2459,0.7255,0.0744,0.0882,0.0447,0.61,0.3184,"23000",9468,0.8557,54454
"Long Island University","Brookville","NY","11548-1327","Graduate","Mid_Atlantic",-73.593678,40.820714,"Private_non_profit","No","No","Yes",0.9265,26,5751,0.3817,0.1595,0.1582,0.1248,0.6663,0.3748,"23577",12569,0.7835,63669
"Manhattan College","Riverdale","NY","10471-4098","Graduate","Mid_Atlantic",-73.901893,40.889756,"Private_non_profit","No","Yes","No",0.823,28,3066,0.4615,0.0643,0.2864,0.0457,0.4185,0.2831,"26000",11973,0.7604,75885
"Marist College","Poughkeepsie","NY","12601","Graduate","Mid_Atlantic",-73.935484,41.720937,"Private_non_profit","No","No","Yes",0.6285,28,5069,0.7333,0.0373,0.1341,0.0345,0.5857,0.1603,"25000",10156,0.8601,66460
"Marymount Manhattan College","New York","NY","10021-4597","Bachelors","Mid_Atlantic",-73.959767,40.768787,"Private_non_profit","No","No","Yes",0.7209,25,1568,0.5172,0.1027,0.227,0.0287,0.8214,0.3053,"25750",8392,0.627,39824
"Medaille University","Buffalo","NY","14214-2695","Graduate","Mid_Atlantic",-78.855941,42.92856,"Private_non_profit","No","No","Yes",0.688,20,1185,0.6346,0.238,0.0498,0.0186,0.7038,0.5078,"23000",5400,0.6617,38705
"Mercy College","Dobbs Ferry","NY","10522","Graduate","Mid_Atlantic",-73.874447,41.021626,"Private_non_profit","No","Yes","Yes",0.8586,23,5510,0.1648,0.2494,0.465,0.0483,0.7002,0.5555,"19637",9511,0.7387,50044
"Molloy College","Rockville Centre","NY","11571-5002","Graduate","Mid_Atlantic",-73.626183,40.685941,"Private_non_profit","No","Yes","No",0.7663,26,3207,0.508,0.1004,0.2466,0.0904,0.7141,0.2999,"27000",11043,0.8507,80210
"College of Mount Saint Vincent","Bronx","NY","10471-1093","Graduate","Mid_Atlantic",-73.908887,40.913657,"Private_non_profit","No","Yes","No",0.8889,23,2233,0.3954,0.1388,0.3309,0.0528,0.7725,0.4544,"25000",9335,0.6863,65405
"Nazareth College","Rochester","NY","14618-3790","Graduate","Mid_Atlantic",-77.518579,43.101576,"Private_non_profit","No","No","Yes",0.8394,27,1978,0.7917,0.0516,0.0693,0.0222,0.7235,0.2517,"26038",8158,0.824,49799
"New York University","New York","NY","10012-1091","Graduate","Mid_Atlantic",-73.997264,40.729452,"Private_non_profit","No","No","Yes",0.1246,34,29136,0.2183,0.0783,0.1657,0.2017,0.5907,0.1916,"20500",16705,0.9467,72083
"Niagara University","Niagara University","NY","14109","Graduate","Mid_Atlantic",-79.036689,43.137279,"Private_non_profit","No","No","No",0.8955,26,2668,0.6289,0.0622,0.0446,0.0169,0.6484,0.2764,"25475",9671,0.791,50087
"New York Institute of Technology","Old Westbury","NY","11568-8000","Graduate","Mid_Atlantic",-73.6078,40.812447,"Private_non_profit","No","No","Yes",0.7572,28,3279,0.2147,0.1177,0.2229,0.2769,0.4065,0.4448,"23334",12849,0.7709,65540
"Pace University","New York","NY","10038-1598","Graduate","Mid_Atlantic",-74.004719,40.711014,"Private_non_profit","No","No","Yes",0.8293,27,7766,0.4768,0.0994,0.2144,0.0774,0.6669,0.2818,"23250",12392,0.7159,70079
"Pratt Institute-Main","Brooklyn","NY","11205","Graduate","Mid_Atlantic",-73.96431,40.691297,"Private_non_profit","No","No","Yes",0.5045,30,3887,0.3267,0.0422,0.1065,0.161,0.7178,0.1713,"26000",11558,0.8878,51488
"Rensselaer Polytechnic Institute","Troy","NY","12180-3590","Graduate","Mid_Atlantic",-73.676646,42.729978,"Private_non_profit","No","No","Yes",0.6451,33,5886,0.4266,0.0486,0.107,0.1945,0.3051,0.1843,"23750",12854,0.888,89152
"Roberts Wesleyan University","Rochester","NY","14624","Graduate","Mid_Atlantic",-77.798498,43.125755,"Private_non_profit","No","No","No",0.995,28,1033,0.666,0.1384,0.09,0.0184,0.6786,0.3809,"23750",6836,0.7402,51006
"Rochester Institute of Technology","Rochester","NY","14623-5603","Graduate","Mid_Atlantic",-77.67386,43.084188,"Private_non_profit","No","No","Yes",0.6717,31,13152,0.6199,0.0518,0.0915,0.1169,0.3415,0.2845,"26778",11041,0.8537,69774
"University of Rochester","Rochester","NY","14627-0011","Graduate","Mid_Atlantic",-77.631202,43.126397,"Private_non_profit","No","No","Yes",0.3891,33,6569,0.4019,0.046,0.0787,0.1621,0.5269,0.1596,"21000",13052,0.9236,75454
"St Bonaventure University","Saint Bonaventure","NY","14778-9800","Graduate","Mid_Atlantic",-78.481107,42.080191,"Private_non_profit","No","No","No",0.8111,28,1791,0.7683,0.0497,0.0664,0.0313,0.4467,0.2517,"26000",6955,0.7971,51475
"St Lawrence University","Canton","NY","13617","Graduate","Mid_Atlantic",-75.161343,44.589879,"Private_non_profit","No","No","Yes",0.635,30,2130,0.7582,0.0263,0.061,0.0202,0.5404,0.2223,"27000",9999,0.8472,51389
"Sarah Lawrence College","Bronxville","NY","10708","Graduate","Mid_Atlantic",-73.843727,40.9355,"Private_non_profit","No","No","Yes",0.4988,30,1417,0.597,0.0438,0.1066,0.0494,0.7953,0.1174,"27000",10025,0.7877,38798
"Siena College","Loudonville","NY","12211-1462","Graduate","Mid_Atlantic",-73.7526,42.717602,"Private_non_profit","No","No","No",0.8035,25,3480,0.7612,0.0379,0.0856,0.0428,0.5534,0.2394,"26561",9176,0.854,60156
"Skidmore College","Saratoga Springs","NY","12866","Bachelors","Mid_Atlantic",-73.785335,43.097035,"Private_non_profit","No","No","Yes",0.2554,31,2744,0.6334,0.0441,0.0995,0.0554,0.5856,0.1513,"19500",10034,0.8759,50769
"St. Joseph's University-New York","Brooklyn","NY","11205-3688","Graduate","Mid_Atlantic",-73.967664,40.690418,"Private_non_profit","No","No","Yes",0.7671,24,3531,0.561,0.0864,0.2104,0.0365,0.6825,0.3435,"22000",9348,0.8224,54435
"St. John Fisher University","Rochester","NY","14618-3597","Graduate","Mid_Atlantic",-77.513056,43.116259,"Private_non_profit","No","No","No",0.7305,26,2616,0.8081,0.0497,0.0661,0.0394,0.5856,0.2733,"23250",9191,0.8289,56097
"St. John's University-New York","Queens","NY","11439","Graduate","Mid_Atlantic",-73.796104,40.722523,"Private_non_profit","No","No","No",0.8467,27,10081,0.3923,0.1405,0.2171,0.1624,0.5499,0.3608,"25000",12559,0.8162,62341
"SUNY College of Agriculture and Technology at Cobleskill","Cobleskill","NY","12043","Bachelors","Mid_Atlantic",-74.498258,42.672534,"Public","No","No","Yes",0.8403,20,1774,0.6973,0.1009,0.1234,0.0192,0.5722,0.428,"16023",6824,0.6877,39754
"Farmingdale State College","Farmingdale","NY","11735-1021","Graduate","Mid_Atlantic",-73.42832,40.754224,"Public","No","No","Yes",0.7317,21,8915,0.4423,0.1031,0.2748,0.1181,0.4043,0.3631,"14718",8662,0.8084,59038
"SUNY at Albany","Albany","NY","12222","Graduate","Mid_Atlantic",-73.824662,42.685489,"Public","No","No","Yes",0.679,25,12175,0.4104,0.2182,0.186,0.093,0.5432,0.4133,"19500",10358,0.8284,56038
"Binghamton University","Vestal","NY","13850-6000","Graduate","Mid_Atlantic",-75.966889,42.087868,"Public","No","No","Yes",0.4175,31,14398,0.5525,0.0465,0.1314,0.1723,0.5256,0.2702,"18500",10334,0.9069,68682
"University at Buffalo","Buffalo","NY","14260-1660","Graduate","Mid_Atlantic",-78.789458,43.000942,"Public","No","No","Yes",0.6771,29,20569,0.4571,0.0872,0.0866,0.175,0.4631,0.3233,"19000",11168,0.8352,58053
"Stony Brook University","Stony Brook","NY","11794-0701","Graduate","Mid_Atlantic",-73.12046,40.91476,"Public","No","No","Yes",0.4914,31,17406,0.2748,0.0603,0.1487,0.3399,0.5076,0.3733,"18228",13301,0.8783,67114
"SUNY Brockport","Brockport","NY","14420-2919","Graduate","Mid_Atlantic",-77.947188,43.211926,"Public","No","No","Yes",0.6794,22,5107,0.6953,0.1187,0.0885,0.0257,0.5962,0.3785,"20000",7931,0.6646,48042
"SUNY at Fredonia","Fredonia","NY","14063-1136","Graduate","Mid_Atlantic",-79.337375,42.452236,"Public","No","No","Yes",0.8458,21,3193,0.7354,0.0727,0.1065,0.0147,0.5816,0.3915,"24250",7604,0.728,43483
"SUNY College at Geneseo","Geneseo","NY","14454-1465","Graduate","Mid_Atlantic",-77.821894,42.796645,"Public","No","No","Yes",0.7493,27,4078,0.81,0.037,0.0672,0.0341,0.6466,0.2604,"19500",8147,0.8611,53098
"State University of New York at New Paltz","New Paltz","NY","12561-2443","Graduate","Mid_Atlantic",-74.082188,41.740936,"Public","No","No","Yes",0.5827,27,5990,0.5891,0.0699,0.2317,0.0436,0.6449,0.3437,"18750",7751,0.8416,49031
"SUNY Oneonta","Oneonta","NY","13820-4015","Graduate","Mid_Atlantic",-75.063632,42.468861,"Public","No","No","Yes",0.7253,27,4849,0.6968,0.0503,0.1718,0.0196,0.609,0.3329,"19812",7288,0.7247,49889
"State University of New York at Oswego","Oswego","NY","13126","Graduate","Mid_Atlantic",-76.540798,43.454287,"Public","No","No","Yes",0.8256,26,5957,0.6473,0.1131,0.1365,0.0255,0.5243,0.3985,"20880",7540,0.7297,46407
"SUNY at Purchase College","Purchase","NY","10577-1400","Graduate","Mid_Atlantic",-73.701955,41.047223,"Public","No","Yes","Yes",0.7468,31,3050,0.4902,0.1282,0.2643,0.0403,0.5843,0.3599,"21067",7681,0.7876,36217
"SUNY College at Plattsburgh","Plattsburgh","NY","12901-2681","Graduate","Mid_Atlantic",-73.466536,44.69293,"Public","No","No","Yes",0.7024,25,3925,0.6311,0.1154,0.1404,0.0257,0.6107,0.3817,"21196",7474,0.7251,48516
"SUNY Maritime College","Throggs Neck","NY","10465-4198","Graduate","Mid_Atlantic",-73.795309,40.807217,"Public","No","No","Yes",0.8033,26,1291,0.6747,0.0542,0.1526,0.0449,0.1332,0.2273,"23250",8223,0.779,91351
"Syracuse University","Syracuse","NY","13244","Graduate","Mid_Atlantic",-76.133989,43.036644,"Private_non_profit","No","No","Yes",0.5175,30,15071,0.5463,0.0707,0.1107,0.0718,0.5444,0.1755,"26000",12636,0.9072,65022
"Touro University","New York","NY","10036","Graduate","Mid_Atlantic",-73.980813,40.757267,"Private_non_profit","No","No","Yes",0.7131,29,4005,0.5753,0.1353,0.1064,0.026,0.6921,0.4026,"15547",9147,0.8407,52814
"Union College","Schenectady","NY","12308-2311","Bachelors","Mid_Atlantic",-73.928788,42.818097,"Private_non_profit","No","No","Yes",0.4651,31,2077,0.6678,0.0438,0.0871,0.065,0.4444,0.1327,"25337",11930,0.8903,69378
"Utica University","Utica","NY","13502-4892","Graduate","Mid_Atlantic",-75.272916,43.096213,"Private_non_profit","No","No","Yes",0.809,27,2526,0.6726,0.0954,0.0887,0.04,0.578,0.3151,"22500",8336,0.7346,63908
"Vassar College","Poughkeepsie","NY","12604","Bachelors","Mid_Atlantic",-73.895088,41.686895,"Private_non_profit","No","No","Yes",0.1866,33,2430,0.5407,0.0391,0.121,0.1214,0.6152,0.2096,"18625",12502,0.9379,49885
"School of Visual Arts","New York","NY","10010","Graduate","Mid_Atlantic",-73.982359,40.738809,"Private_for_profit","No","No","Yes",0.8741,29,3518,0.1566,0.0307,0.0856,0.1578,0.7416,0.1551,"27000",5357,0.8557,35939
"Wagner College","Staten Island","NY","10301-4495","Graduate","Mid_Atlantic",-74.092913,40.615588,"Private_non_profit","No","No","No",0.6854,27,1638,0.5757,0.0653,0.1661,0.0458,0.6276,0.2119,"25000",7238,0.8169,70913
"Yeshiva University","New York","NY","10033-3299","Graduate","Mid_Atlantic",-73.929873,40.850605,"Private_non_profit","No","No","Yes",0.6322,31,2820,0.6362,0.0011,0.0213,0.0011,0.455,0.1319,"18250",13071,0.9221,74760
"Appalachian State University","Boone","NC","28608","Graduate","Southeast",-81.680583,36.215536,"Public","No","No","Yes",0.8308,24,18467,0.8111,0.0318,0.0825,0.0166,0.5635,0.2718,"20231",8881,0.8293,44598
"Belmont Abbey College","Belmont","NC","28012-1802","Bachelors","Southeast",-81.041315,35.260651,"Private_non_profit","No","No","No",0.9717,21,1413,0.6518,0.0991,0.058,0.0149,0.4607,0.2812,"26000",6144,0.662,40558
"Brevard College","Brevard","NC","28712","Bachelors","Southeast",-82.729494,35.236763,"Private_non_profit","No","No","No",0.3989,21,731,0.6525,0.1218,0.0739,0.0109,0.3762,0.3966,"25000",5440,0.6852,35750
"Catawba College","Salisbury","NC","28144","Graduate","Southeast",-80.482751,35.691443,"Private_non_profit","No","No","Yes",0.6708,23,1076,0.5428,0.198,0.0985,0.0065,0.5204,0.3922,"25000",7919,0.6515,41111
"Chowan University","Murfreesboro","NC","27855","Graduate","Southeast",-77.099141,36.436258,"Private_non_profit","No","No","No",0.8668,21,800,0.1963,0.5263,0.0363,0.0025,0.4025,0.6853,"29491",7225,0.6268,37590
"Davidson College","Davidson","NC","28035","Bachelors","Southeast",-80.843979,35.499767,"Private_non_profit","No","No","No",0.1695,32,1922,0.6207,0.064,0.0973,0.0531,0.5328,0.1543,"18688",11975,0.9378,57755
"Duke University","Durham","NC","27708","Graduate","Southeast",-78.937624,36.001135,"Private_non_profit","No","No","No",0.0635,35,6570,0.3699,0.0857,0.1102,0.2122,0.5237,0.1222,"13000",17902,0.9685,92741
"Elizabeth City State University","Elizabeth City","NC","27909","Graduate","Southeast",-76.214041,36.277978,"Public","Yes","No","Yes",0.7415,19,1912,0.1606,0.7061,0.045,0.0026,0.5669,0.6065,"21463",8140,0.7623,35538
"Elon University","Elon","NC","27244-2010","Graduate","Southeast",-79.50344,36.104148,"Private_non_profit","No","No","Yes",0.7446,28,6337,0.7903,0.0573,0.0639,0.0234,0.5949,0.0953,"20500",9554,0.8956,58372
"Fayetteville State University","Fayetteville","NC","28301-4298","Graduate","Southeast",-78.891696,35.073641,"Public","Yes","No","Yes",0.8124,16,5218,0.1704,0.6251,0.0897,0.0107,0.7047,0.565,"22987",8564,0.6971,41223
"Gardner-Webb University","Boiling Springs","NC","28017-0997","Graduate","Southeast",-81.668141,35.24732,"Private_non_profit","No","No","No",0.7495,22,1811,0.5362,0.1717,0.0431,0.0094,0.6438,0.3974,"24222",7128,0.6622,45412
"Guilford College","Greensboro","NC","27410-4108","Graduate","Southeast",-79.887737,36.094233,"Private_non_profit","No","No","No",0.8351,21,1022,0.4393,0.3043,0.1605,0.0235,0.4951,0.4634,"26000",6898,0.6559,42169
"High Point University","High Point","NC","27268","Graduate","Southeast",-79.994675,35.972035,"Private_non_profit","No","No","No",0.7888,26,4965,0.7676,0.0655,0.0759,0.0197,0.5525,0.116,"24575",8460,0.8286,54699
"Livingstone College","Salisbury","NC","28144","Bachelors","Southeast",-80.483956,35.670877,"Private_non_profit","Yes","No","No",0.6377,17,839,0.0167,0.8975,0.0036,0.0012,0.4076,0.8332,"31125",5812,0.701,31230
"Meredith College","Raleigh","NC","27607-5298","Graduate","Southeast",-78.689995,35.799351,"Private_non_profit","No","No","Yes",0.7318,25,1294,0.6461,0.0927,0.1314,0.0502,1,0.3497,"25000",7479,0.769,44825
"Methodist University","Fayetteville","NC","28311-1420","Graduate","Southeast",-78.874426,35.135058,"Private_non_profit","No","No","No",0.7568,25,1442,0.4785,0.2316,0.0832,0.0104,0.4535,0.3862,"27000",7605,0.6225,43238
"North Carolina A & T State University","Greensboro","NC","27411","Graduate","Southeast",-79.773375,36.07282,"Public","Yes","No","Yes",0.5639,20,11553,0.0339,0.851,0.0447,0.0054,0.6279,0.53,"27000",8834,0.7367,44731
"University of North Carolina at Asheville","Asheville","NC","28804-8510","Bachelors","Southeast",-82.565392,35.617068,"Public","No","No","Yes",0.7431,24,2803,0.7467,0.0474,0.0849,0.0178,0.5762,0.3544,"20500",8529,0.686,37044
"University of North Carolina at Chapel Hill","Chapel Hill","NC","27599","Graduate","Southeast",-79.050969,35.911769,"Public","No","No","Yes",0.1711,32,19921,0.5485,0.0835,0.096,0.1389,0.6039,0.2135,"14000",13829,0.9598,61222
"University of North Carolina at Charlotte","Charlotte","NC","28223-0001","Graduate","Southeast",-80.730919,35.306022,"Public","No","No","Yes",0.7964,23,23063,0.5124,0.163,0.1359,0.0966,0.4813,0.3574,"21500",10762,0.8363,52327
"University of North Carolina at Greensboro","Greensboro","NC","27402-6170","Graduate","Southeast",-79.809414,36.068236,"Public","No","No","Yes",0.9194,24,13862,0.4046,0.2976,0.1573,0.0581,0.6646,0.4883,"22858",9063,0.7329,42944
"North Carolina Central University","Durham","NC","27707","Graduate","Southeast",-78.898602,35.974237,"Public","Yes","No","Yes",0.8438,18,5101,0.0425,0.8238,0.0535,0.0092,0.7003,0.6335,"28250",8974,0.7632,40122
"University of North Carolina School of the Arts","Winston Salem","NC","27127-2738","Graduate","Southeast",-80.235672,36.076183,"Public","No","No","Yes",0.3178,27,915,0.6197,0.0984,0.1377,0.0262,0.6077,0.2524,"23870",8190,0.9327,30846
"North Carolina State University at Raleigh","Raleigh","NC","27695-7001","Graduate","Southeast",-78.674517,35.785111,"Public","No","No","Yes",0.4717,30,25109,0.6753,0.0587,0.081,0.0921,0.4955,0.2002,"20121",11987,0.9377,61965
"University of North Carolina Wilmington","Wilmington","NC","28403-5963","Graduate","Southeast",-77.875527,34.225223,"Public","No","No","Yes",0.6883,26,13960,0.7869,0.0442,0.0827,0.0188,0.6463,0.2568,"19500",9332,0.8261,47272
"William Peace University","Raleigh","NC","27604-1194","Bachelors","Southeast",-78.637697,35.789139,"Private_non_profit","No","No","No",0.6318,24,640,0.5406,0.2422,0.1281,0.0203,0.4719,0.3994,"22250",6133,0.6016,43502
"Pfeiffer University","Misenheimer","NC","28109-0960","Graduate","Southeast",-80.283168,35.484696,"Private_non_profit","No","No","No",0.6905,20,683,0.5739,0.2152,0.1157,0.0015,0.5286,0.5363,"26163",7391,0.6138,49913
"Queens University of Charlotte","Charlotte","NC","28274-0001","Graduate","Southeast",-80.833509,35.189051,"Private_non_profit","No","No","No",0.7127,25,1301,0.5242,0.1353,0.1376,0.0354,0.6426,0.237,"25000",8435,0.7172,51916
"Warren Wilson College","Swannanoa","NC","28778-2099","Graduate","Southeast",-82.442619,35.610328,"Private_non_profit","No","No","Yes",0.8398,28,697,0.7719,0.0502,0.0789,0.01,0.6542,0.3552,"25000",5563,0.6933,32003
"Wingate University","Wingate","NC","28174-0159","Graduate","Southeast",-80.44305,34.986064,"Private_non_profit","No","No","Yes",0.8615,21,2509,0.4424,0.2348,0.0841,0.0187,0.5911,0.4182,"25000",8384,0.6891,45302
"Winston-Salem State University","Winston-Salem","NC","27110-0001","Graduate","Southeast",-80.225033,36.089554,"Public","Yes","No","Yes",0.7339,16,4449,0.0625,0.8107,0.0438,0.0088,0.7575,0.6359,"25000",8647,0.7684,48365
"Western Carolina University","Cullowhee","NC","28723-9646","Graduate","Southeast",-83.186258,35.308979,"Public","No","No","Yes",0.8484,22,9809,0.7695,0.0615,0.0797,0.0132,0.5673,0.3404,"21868",8444,0.7131,44429
"Dickinson State University","Dickinson","ND","58601-4896","Graduate","West_North_Central",-102.799679,46.882917,"Public","No","No","Yes",0.7202,19,1148,0.7718,0.0331,0.0732,0.0105,0.554,0.2667,"18442",7113,0.5736,48714
"University of Mary","Bismarck","ND","58504","Graduate","West_North_Central",-100.75274,46.723767,"Private_non_profit","No","No","No",0.8139,24,2149,0.792,0.0242,0,0.0149,0.5863,0.2112,"24000",8230,0.8039,55540
"Minot State University","Minot","ND","58707","Graduate","West_North_Central",-101.29861,48.246961,"Public","No","No","Yes",0.9317,19,2168,0.6628,0.0397,0.0849,0.0157,0.6416,0.2651,"19609",6942,0.7045,51114
"North Dakota State University-Main Campus","Fargo","ND","58108-6050","Graduate","West_North_Central",-96.800838,46.893127,"Public","No","No","Yes",0.9568,22,9795,0.8637,0.0306,0.0311,0.0143,0.5088,0.1956,"23199",9679,0.7522,57626
"Valley City State University","Valley City","ND","58072","Graduate","West_North_Central",-98.00389,46.918517,"Public","No","No","Yes",0.8345,19,914,0.8053,0.0284,0.0678,0.0066,0.5339,0.2941,"20369",6226,0.7066,46502
"University of Akron Main Campus","Akron","OH","44325-2102","Graduate","East_North_Central",-81.511167,41.075923,"Public","No","No","Yes",0.8287,22,10099,0.7162,0.1232,0.037,0.0411,0.475,0.3257,"23250",10352,0.6795,50049
"Ashland University","Ashland","OH","44805","Graduate","East_North_Central",-82.321061,40.861755,"Private_non_profit","No","No","No",0.7176,23,2332,0.7719,0.0866,0.0322,0.0111,0.5592,0.3292,"25000",7426,0.7025,50023
"Baldwin Wallace University","Berea","OH","44017-2088","Graduate","East_North_Central",-81.851145,41.373017,"Private_non_profit","No","No","Yes",0.7704,23,2708,0.7784,0.0687,0.0691,0.0214,0.5547,0.2952,"27000",8636,0.8239,46705
"Bluffton University","Bluffton","OH","45817-2104","Graduate","East_North_Central",-83.899439,40.895606,"Private_non_profit","No","No","No",0.9629,18,649,0.7273,0.1341,0.0277,0.0046,0.4669,0.4039,"27000",6225,0.6983,42999
"Bowling Green State University-Main Campus","Bowling Green","OH","43403","Graduate","East_North_Central",-83.640896,41.375513,"Public","No","No","Yes",0.7866,22,12223,0.8008,0.0673,0.0488,0.0117,0.5674,0.2584,"25000",9977,0.7701,44702
"Capital University","Columbus","OH","43209-2394","Graduate","East_North_Central",-82.937867,39.954875,"Private_non_profit","No","No","No",0.7215,21,1905,0.6987,0.116,0.0604,0.0262,0.5958,0.2768,"26889",8497,0.782,48345
"Case Western Reserve University","Cleveland","OH","44106","Graduate","East_North_Central",-81.609596,41.507419,"Private_non_profit","No","No","Yes",0.2741,33,5927,0.3619,0.065,0.1156,0.2534,0.4788,0.1648,"24000",12562,0.9289,75546
"Cedarville University","Cedarville","OH","45314-0601","Graduate","East_North_Central",-83.814692,39.749237,"Private_non_profit","No","No","No",0.6488,26,3851,0.8655,0.0135,0.0296,0.0317,0.5451,0.1924,"20937",8206,0.8557,49554
"The Christ College of Nursing and Health Sciences","Cincinnati","OH","45219-2989","Bachelors","East_North_Central",-84.509564,39.121821,"Private_non_profit","No","No","Yes",0.7105,19,860,0.7395,0.1488,0.0291,0.0326,0.9186,0.3311,"24250",6921,0.678,63465
"University of Cincinnati-Main Campus","Cincinnati","OH","45221-0063","Graduate","East_North_Central",-84.51428,39.131159,"Public","No","No","Yes",0.8622,26,27880,0.7141,0.0761,0.0416,0.0534,0.502,0.1966,"21250",10898,0.8621,55645
"Cleveland Institute of Art","Cleveland","OH","44106-1710","Bachelors","East_North_Central",-81.602416,41.510435,"Private_non_profit","No","No","Yes",0.6984,24,575,0.68,0.0974,0.0974,0.0278,0.727,0.4355,"27000",6480,0.7971,33179
"Cleveland State University","Cleveland","OH","44115-2214","Graduate","East_North_Central",-81.674355,41.502281,"Public","No","No","Yes",0.8532,19,9502,0.604,0.1668,0.0856,0.0396,0.546,0.3885,"21797",10137,0.6865,49587
"University of Dayton","Dayton","OH","45469","Graduate","East_North_Central",-84.176113,39.739547,"Private_non_profit","No","No","No",0.7405,27,8349,0.7911,0.0508,0.0709,0.0162,0.4799,0.151,"23250",9240,0.8768,63855
"Defiance College","Defiance","OH","43512","Graduate","East_North_Central",-84.357075,41.296842,"Private_non_profit","No","No","No",0.6286,19,478,0.6381,0.2594,0.0753,0.0021,0.3891,0.5323,"26813",6231,0.5786,40816
"Denison University","Granville","OH","43023","Bachelors","East_North_Central",-82.523272,40.071505,"Private_non_profit","No","No","Yes",0.2196,31,2406,0.6089,0.0569,0.0707,0.0337,0.522,0.1388,"26000",10126,0.9037,51742
"John Carroll University","University Heights","OH","44118-4538","Graduate","East_North_Central",-81.531224,41.490259,"Private_non_profit","No","No","No",0.8237,27,2358,0.8418,0.0454,0.045,0.0284,0.4508,0.1966,"26000",9698,0.8567,57087
"Kent State University at Kent","Kent","OH","44242-0001","Graduate","East_North_Central",-81.342533,41.146653,"Public","No","No","Yes",0.8802,21,19179,0.7497,0.0906,0.043,0.022,0.6224,0.2871,"24500",9957,0.7767,46441
"Kenyon College","Gambier","OH","43022","Bachelors","East_North_Central",-82.397977,40.374408,"Private_non_profit","No","No","Yes",0.343,33,1877,0.6638,0.0293,0.0762,0.0448,0.561,0.0996,"18527",9273,0.8839,44382
"Kettering College","Kettering","OH","45429-1299","Graduate","East_North_Central",-84.192006,39.695052,"Private_non_profit","No","No","No",0.3441,20,572,0.6661,0.1031,0.0542,0.035,0.8549,0.3151,"23500",7775,0.7302,62874
"Lake Erie College","Painesville","OH","44077-3389","Graduate","East_North_Central",-81.251817,41.717841,"Private_non_profit","No","No","Yes",0.541,23,662,0.6344,0.1375,0.071,0.0045,0.4124,0.3789,"26000",5560,0.6559,45917
