Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,ID
David MacKinnon,27,OAK,AL,6,14,13,2,0,0,0,0,0,0,0,1,5,0,0.071,0,0.071,mackida01
Nick Madrigal,25,CHC,NL,59,228,209,19,52,7,0,0,7,3,1,14,27,0.249,0.305,0.282,0.588,madrini01
Bligh Madris*,26,PIT,NL,39,123,113,10,20,7,0,1,7,2,1,10,31,0.177,0.244,0.265,0.509,madribl01
Luke Maile,31,CLE,AL,76,206,181,19,40,10,0,3,17,0,0,19,54,0.221,0.301,0.326,0.627,mailelu01
Martin Maldonado,35,HOU,AL,113,379,344,40,64,12,0,15,45,0,0,22,116,0.186,0.248,0.352,0.6,maldoma01
Trey Mancini,30,TOT,AL,143,587,519,56,124,23,1,18,63,0,0,53,135,0.239,0.319,0.391,0.71,mancitr01
Trey Mancini,30,BAL,AL,92,401,354,39,95,16,1,10,41,0,0,35,86,0.268,0.347,0.404,0.751,mancitr01
Trey Mancini,30,HOU,AL,51,186,165,17,29,7,0,8,22,0,0,18,49,0.176,0.258,0.364,0.622,mancitr01
Joe Mantiply,31,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,mantijo01
Tucupita Marcano*,22,PIT,NL,49,177,160,18,33,6,2,2,13,2,1,10,44,0.206,0.256,0.306,0.562,marcatu01
Manuel Margot,27,TBR,AL,89,363,336,36,92,18,2,4,47,7,3,24,68,0.274,0.325,0.375,0.7,margoma01
Jake Marisnick,31,PIT,NL,31,82,77,9,18,6,0,2,6,2,1,4,24,0.234,0.272,0.39,0.661,marisja01
Deven Marrero,31,NYM,NL,5,6,6,0,0,0,0,0,0,1,0,0,3,0,0,0,0,marrede01
Brandon Marsh*,24,TOT,MLB,134,461,424,49,104,18,4,11,52,10,4,28,158,0.245,0.295,0.384,0.679,marshbr02
Brandon Marsh*,24,LAA,AL,93,323,292,34,66,9,2,8,37,8,2,22,117,0.226,0.284,0.353,0.637,marshbr02
Brandon Marsh*,24,PHI,NL,41,138,132,15,38,9,2,3,15,2,2,6,41,0.288,0.319,0.455,0.773,marshbr02
Ketel Marte#,28,ARI,NL,137,558,492,68,118,42,2,12,52,5,1,55,101,0.24,0.321,0.407,0.727,marteke01
Starling Marte,33,NYM,NL,118,505,466,76,136,24,5,16,63,18,9,26,97,0.292,0.347,0.468,0.814,martest01
Brett Martin*,27,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,martibr01
Chris Martin,36,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,martich02
Chris Martin,36,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,martich02
Richie Martin,27,BAL,AL,13,33,30,4,5,0,2,0,3,3,1,3,10,0.167,0.242,0.3,0.542,martiri01
J.D. Martinez,34,BOS,AL,139,596,533,76,146,43,1,16,62,0,0,52,145,0.274,0.341,0.448,0.79,martijd02
Michael Massey*,24,KCR,AL,52,194,173,16,42,9,1,4,17,3,0,9,46,0.243,0.307,0.376,0.683,massemi02
Miles Mastrobuoni*,26,TBR,AL,8,17,16,1,3,0,0,0,0,1,0,1,6,0.188,0.235,0.188,0.423,mastrmi01
Jorge Mateo,27,BAL,AL,150,533,494,63,109,25,7,13,50,35,9,27,147,0.221,0.267,0.379,0.646,mateojo01
Mark Mathias,27,TOT,MLB,30,91,81,13,20,3,0,6,20,3,0,9,30,0.247,0.319,0.506,0.825,mathima01
Mark Mathias,27,MIL,NL,6,17,16,2,2,0,0,1,4,1,0,0,4,0.125,0.118,0.313,0.43,mathima01
Mark Mathias,27,TEX,AL,24,74,65,11,18,3,0,5,16,2,0,9,26,0.277,0.365,0.554,0.919,mathima01
J.J. Matijevic*,26,HOU,AL,32,71,67,7,14,2,0,2,5,1,0,2,25,0.209,0.254,0.328,0.582,matijjj01
Nick Maton*,25,PHI,NL,34,85,72,13,18,2,1,5,17,0,0,10,29,0.25,0.341,0.514,0.855,matonni01
Jack Mayfield,31,LAA,AL,23,74,70,8,13,1,1,1,6,1,0,3,17,0.186,0.23,0.271,0.501,mayfija01
Nomar Mazara*,27,SDP,NL,55,171,159,16,42,8,0,2,18,0,0,10,40,0.264,0.316,0.352,0.668,mazarno01
Patrick Mazeika*,28,NYM,NL,24,72,68,4,13,4,0,1,6,0,0,2,9,0.191,0.214,0.294,0.508,mazeipa01
James McCann,32,NYM,NL,61,191,174,19,34,6,0,3,18,3,0,11,46,0.195,0.257,0.282,0.538,mccanja02
Jake McCarthy*,24,ARI,NL,99,354,321,53,91,16,3,8,43,23,3,23,76,0.283,0.342,0.427,0.769,mccarja02
Chas McCormick,27,HOU,AL,119,407,359,47,88,12,2,14,44,4,3,46,106,0.245,0.332,0.407,0.738,mccorch01
Andrew McCutchen,35,MIL,NL,134,580,515,66,122,25,0,17,69,8,6,57,124,0.237,0.316,0.384,0.7,mccutan01
Mickey McDonald#,27,OAK,AL,4,6,4,0,0,0,0,0,0,0,0,2,3,0,0.333,0,0.333,mcdonmi01
Reese McGuire*,27,TOT,AL,89,274,249,25,67,14,1,3,22,1,0,12,56,0.269,0.307,0.369,0.677,mcguire01
Reese McGuire*,27,CHW,AL,53,166,151,12,34,9,0,0,10,0,0,6,33,0.225,0.261,0.285,0.546,mcguire01
Reese McGuire*,27,BOS,AL,36,108,98,13,33,5,1,3,12,1,0,6,23,0.337,0.377,0.5,0.877,mcguire01
Ryan McKenna,25,BAL,AL,104,172,156,23,37,10,0,2,11,2,1,11,55,0.237,0.294,0.34,0.634,mckenry01
Billy McKinney*,27,OAK,AL,23,57,52,3,5,1,0,1,4,0,0,4,16,0.096,0.158,0.173,0.331,mckinbi01
Zach McKinstry*,27,TOT,NL,57,185,166,21,33,6,3,5,14,7,0,16,52,0.199,0.273,0.361,0.635,mckinza01
Zach McKinstry*,27,LAD,NL,10,14,11,4,1,0,0,1,2,0,0,3,4,0.091,0.286,0.364,0.649,mckinza01
Zach McKinstry*,27,CHC,NL,47,171,155,17,32,6,3,4,12,7,0,13,48,0.206,0.272,0.361,0.633,mckinza01
Ryan McMahon*,27,COL,NL,153,597,529,67,130,23,3,20,67,7,3,60,158,0.246,0.327,0.414,0.741,mcmahry01
Jeff McNeil*,30,NYM,NL,148,589,533,73,174,39,1,9,62,4,0,40,61,0.326,0.382,0.454,0.836,mcneije01
Austin Meadows*,27,DET,AL,36,147,128,9,32,6,2,0,11,0,1,16,17,0.25,0.347,0.328,0.675,meadoau01
Adonis Medina,25,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,medinad01
Francisco Mejia#,26,TBR,AL,93,299,289,32,70,22,0,6,31,0,0,7,65,0.242,0.264,0.381,0.645,mejiafr01
Mark Melancon,37,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,melanma01
MJ Melendez*,23,KCR,AL,129,534,460,57,100,21,3,18,62,2,3,66,131,0.217,0.313,0.393,0.706,melenmj01
Danny Mendick,28,CHW,AL,31,106,97,22,28,4,1,3,15,1,0,7,23,0.289,0.343,0.443,0.786,mendida01
Joey Meneses,30,WSN,NL,56,240,222,33,72,14,0,13,34,1,0,15,52,0.324,0.367,0.563,0.93,menesjo01
Oscar Mercado,27,TOT,MLB,55,128,121,17,25,6,1,4,16,2,2,5,29,0.207,0.242,0.372,0.614,mercaos01
Oscar Mercado,27,CLE,AL,54,127,120,17,25,6,1,4,16,2,2,5,28,0.208,0.244,0.375,0.619,mercaos01
Oscar Mercado,27,PHI,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mercaos01
Yermin Mercedes,29,SFG,NL,31,83,73,9,17,5,0,1,8,0,0,9,17,0.233,0.325,0.342,0.668,merceye01
Whit Merrifield,33,TOT,AL,139,550,504,70,126,28,1,11,58,16,5,38,85,0.25,0.298,0.375,0.673,merriwh01
Whit Merrifield,33,KCR,AL,95,420,383,51,92,23,1,6,42,15,3,30,61,0.24,0.29,0.352,0.643,merriwh01
Whit Merrifield,33,TOR,AL,44,130,121,19,34,5,0,5,16,1,2,8,24,0.281,0.323,0.446,0.769,merriwh01
Jake Meyers,26,HOU,AL,52,160,150,13,34,6,2,1,15,2,1,7,54,0.227,0.269,0.313,0.582,meyerja02
Keynan Middleton,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,middlke01
Brad Miller*,32,TEX,AL,81,241,222,20,47,3,0,7,32,4,2,18,70,0.212,0.27,0.32,0.59,millebr02
Owen Miller,25,CLE,AL,130,472,424,53,103,26,1,6,51,2,0,32,93,0.243,0.301,0.351,0.652,milleow01
Alec Mills,30,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,millsal02
Wyatt Mills,27,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,millswy01
Wyatt Mills,27,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,millswy01
Jose Miranda,24,MIN,AL,125,483,444,45,119,25,0,15,66,1,1,28,91,0.268,0.325,0.426,0.751,miranjo01
Calvin Mitchell*,23,PIT,NL,69,232,212,21,48,11,0,5,17,3,1,18,52,0.226,0.286,0.349,0.635,mitchca01
Garrett Mitchell*,23,MIL,NL,28,68,61,9,19,3,0,2,9,8,0,6,28,0.311,0.373,0.459,0.832,mitchga01
Yadier Molina,39,STL,NL,78,270,262,19,56,8,0,5,24,2,0,5,40,0.214,0.233,0.302,0.535,molinya01
Yoan Moncada#,27,CHW,AL,104,433,397,41,84,18,1,12,51,2,0,32,114,0.212,0.273,0.353,0.626,moncayo01
Adalberto Mondesí#,26,KCR,AL,15,54,50,3,7,0,0,0,3,5,0,4,20,0.14,0.204,0.14,0.344,mondera02
Nate Mondou*,27,OAK,AL,1,3,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,mondona01
Mickey Moniak*,24,TOT,MLB,37,112,106,13,18,3,1,3,8,1,0,4,44,0.17,0.207,0.302,0.509,moniami01
Mickey Moniak*,24,PHI,NL,18,50,46,4,6,1,0,0,2,0,0,3,19,0.13,0.184,0.152,0.336,moniami01
Mickey Moniak*,24,LAA,AL,19,62,60,9,12,2,1,3,6,1,0,1,25,0.2,0.226,0.417,0.642,moniami01
Elehuris Montero,23,COL,NL,53,185,176,21,41,15,1,6,20,0,0,8,60,0.233,0.27,0.432,0.702,monteel01
Dylan Moore,29,SEA,AL,104,255,205,41,46,11,2,6,24,21,8,34,75,0.224,0.368,0.385,0.753,mooredy01
Colin Moran*,29,CIN,NL,42,128,109,11,23,3,0,5,23,0,0,16,30,0.211,0.305,0.376,0.681,moranco01
Christopher Morel,23,CHC,NL,113,425,379,55,89,19,4,16,47,10,7,38,137,0.235,0.308,0.433,0.741,morelch01
Gabriel Moreno,22,TOR,AL,25,73,69,10,22,1,0,1,7,0,0,4,8,0.319,0.356,0.377,0.733,morenga01
Dauri Moreta,26,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,moretda01
Reyes Moronta,29,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,moronre01
Reyes Moronta,29,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,moronre01
Taylor Motter,32,CIN,NL,2,6,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,motteta01
Ryan Mountcastle,25,BAL,AL,145,609,555,62,139,28,1,22,85,4,1,43,154,0.25,0.305,0.423,0.729,mountry01
Mike Moustakas*,33,CIN,NL,78,285,252,30,54,12,0,7,25,2,0,24,75,0.214,0.295,0.345,0.64,moustmi01
Cedric Mullins*,27,BAL,AL,156,672,608,89,157,32,4,16,64,34,10,47,126,0.258,0.318,0.403,0.721,mullice01
Max Muncy*,31,LAD,NL,136,565,464,69,91,22,1,21,69,2,0,90,141,0.196,0.329,0.384,0.713,muncyma01
Yairo Munoz,27,PHI,NL,29,60,57,7,12,2,0,3,7,1,0,3,10,0.211,0.25,0.404,0.654,munozya01
Penn Murfee,28,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,murfepe01
Sean Murphy,27,OAK,AL,148,612,537,67,134,37,2,18,66,1,0,56,124,0.25,0.332,0.426,0.759,murphse01
Tom Murphy,31,SEA,AL,14,42,33,9,10,2,0,1,1,0,0,8,13,0.303,0.439,0.455,0.894,murphto04
Simon Muzziotti*,23,PHI,NL,9,9,7,0,1,0,0,0,0,0,0,0,2,0.143,0.25,0.143,0.393,muzzisi01
Wil Myers,31,SDP,NL,77,286,261,29,68,15,0,7,41,2,1,21,86,0.261,0.315,0.398,0.713,myerswi01
Tyler Naquin*,31,TOT,NL,105,334,310,47,71,19,4,11,46,4,2,19,93,0.229,0.282,0.423,0.705,naquity01
Tyler Naquin*,31,CIN,NL,56,204,187,29,46,12,2,7,33,3,2,13,53,0.246,0.305,0.444,0.749,naquity01
Tyler Naquin*,31,NYM,NL,49,130,123,18,25,7,2,4,13,1,0,6,40,0.203,0.246,0.39,0.636,naquity01
Andrew Nardi*,23,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,nardian01
Omar Narvaez*,30,MIL,NL,84,296,262,21,54,12,1,4,23,0,0,29,57,0.206,0.292,0.305,0.597,narvaom01
Bo Naylor*,22,CLE,AL,5,8,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,naylobo01
Josh Naylor*,25,CLE,AL,122,498,449,47,115,28,0,20,79,6,1,38,80,0.256,0.319,0.452,0.771,naylojo01
Kyle Nelson*,25,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,nelsoky01
Sheldon Neuse,27,OAK,AL,89,293,271,25,58,4,2,4,26,6,1,20,80,0.214,0.273,0.288,0.561,neusesh01
Tyler Nevin,25,BAL,AL,58,184,157,17,31,4,0,2,16,0,0,20,46,0.197,0.299,0.261,0.56,nevinty01
Kevin Newman,28,PIT,NL,78,309,288,31,79,18,2,2,24,8,2,16,48,0.274,0.316,0.372,0.687,newmake01
Tomás Nido,28,NYM,NL,98,313,284,31,68,15,0,3,28,0,0,14,76,0.239,0.276,0.324,0.6,nidoto01
Brandon Nimmo*,29,NYM,NL,151,673,580,102,159,30,7,16,64,3,2,71,116,0.274,0.367,0.433,0.8,nimmobr01
Austin Nola,32,SDP,NL,110,397,347,40,87,15,0,4,40,2,1,34,60,0.251,0.321,0.329,0.649,nolaau01
Lars Nootbaar*,24,STL,NL,108,347,290,53,66,16,3,14,40,4,1,51,71,0.228,0.34,0.448,0.788,nootbla01
Daniel Norris*,29,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,norrida01
Daniel Norris*,29,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,norrida01
Dom Nunez*,27,COL,NL,14,41,33,3,4,1,0,0,2,0,0,6,10,0.121,0.244,0.152,0.395,nunezdo01
Ryan O'Hearn*,28,KCR,AL,67,145,134,14,32,6,1,1,16,0,0,8,35,0.239,0.29,0.321,0.611,ohearry01
Logan O'Hoppe,22,LAA,AL,5,16,14,1,4,0,0,0,2,0,0,2,3,0.286,0.375,0.286,0.661,ohopplo01
Brian O'Keefe,28,SEA,AL,2,4,3,0,1,0,0,0,0,0,0,1,2,0.333,0.5,0.333,0.833,okeefbr01
Tyler O'Neill,27,STL,NL,96,383,334,56,76,11,1,14,58,14,4,38,103,0.228,0.308,0.392,0.7,oneilty01
Rougned Odor*,28,BAL,AL,135,472,426,49,88,19,3,13,53,6,1,32,109,0.207,0.275,0.357,0.632,odorro01
Shohei Ohtani*,27,LAA,AL,157,666,586,90,160,30,6,34,95,11,9,72,161,0.273,0.356,0.519,0.875,ohtansh01
Steven Okert*,30,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,okertst01
Chris Okey,27,CIN,NL,7,13,12,3,2,0,0,0,0,0,0,0,5,0.167,0.231,0.167,0.397,okeych01
Edward Olivares,26,KCR,AL,53,174,161,24,46,8,0,4,15,2,3,10,36,0.286,0.333,0.41,0.743,olivaed02
Matt Olson*,28,ATL,NL,162,699,616,86,148,44,0,34,103,0,0,75,170,0.24,0.325,0.477,0.802,olsonma02
Rafael Ortega*,31,CHC,NL,118,371,316,35,76,14,1,7,35,12,7,44,74,0.241,0.331,0.358,0.688,ortegra01
James Outman*,25,LAD,NL,4,16,13,6,6,2,0,1,3,0,0,2,7,0.462,0.563,0.846,1.409,outmaja01
Chris Owings,30,BAL,AL,26,68,56,6,6,2,0,0,0,1,0,10,24,0.107,0.254,0.143,0.397,owingch01
Marcell Ozuna,31,ATL,NL,124,507,470,56,106,19,0,23,56,2,1,31,122,0.226,0.274,0.413,0.687,ozunama01
Cristian Pache,23,OAK,AL,91,260,241,18,40,5,2,3,18,2,2,15,70,0.166,0.218,0.241,0.459,pachecr01
Kevin Padlo,25,TOT,MLB,13,34,33,0,4,1,0,0,3,0,0,1,10,0.121,0.147,0.152,0.299,padloke01
Kevin Padlo,25,TOT,NL,7,23,23,0,2,0,0,0,0,0,0,0,5,0.087,0.087,0.087,0.174,padloke01
Kevin Padlo,25,SFG,NL,4,12,12,0,2,0,0,0,0,0,0,0,4,0.167,0.167,0.167,0.333,padloke01
Kevin Padlo,25,SEA,AL,6,11,10,0,2,1,0,0,3,0,0,1,5,0.2,0.273,0.3,0.573,padloke01
Kevin Padlo,25,PIT,NL,3,11,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,padloke01
Jermaine Palacios,25,MIN,AL,30,77,70,8,10,0,0,2,6,0,0,4,27,0.143,0.184,0.229,0.413,palacje01
Josh Palacios*,26,WSN,NL,29,49,47,8,10,2,0,0,2,1,0,1,15,0.213,0.245,0.255,0.5,palacjo01
Richie Palacios*,25,CLE,AL,54,123,112,7,26,6,0,0,10,2,0,9,20,0.232,0.293,0.286,0.578,palacri01
Michael Papierski#,26,TOT,NL,39,103,91,7,13,1,0,1,4,0,0,10,26,0.143,0.228,0.187,0.415,papiemi01
Michael Papierski#,26,SFG,NL,5,10,9,1,0,0,0,0,0,0,0,1,4,0,0.1,0,0.1,papiemi01
Michael Papierski#,26,CIN,NL,34,93,82,6,13,1,0,1,4,0,0,9,22,0.159,0.242,0.207,0.449,papiemi01
Isaac Paredes,23,TBR,AL,111,381,331,48,68,16,0,20,45,0,1,44,67,0.205,0.304,0.435,0.74,paredis01
Hoy Park*,26,PIT,NL,23,60,51,7,11,2,0,2,6,1,0,4,15,0.216,0.276,0.373,0.648,parkho01
Vinnie Pasquantino*,24,KCR,AL,72,298,258,25,76,10,0,10,26,1,0,35,34,0.295,0.383,0.45,0.832,pasquvi01
Joel Payamps,28,TOT,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,payamjo01
Joel Payamps,28,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,payamjo01
Joel Payamps,28,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,payamjo01
Mark Payton*,30,CHW,AL,8,25,21,3,3,0,0,0,1,0,0,4,4,0.143,0.28,0.143,0.423,paytoma01
Joc Pederson*,30,SFG,NL,134,433,380,57,104,19,3,23,70,3,2,42,100,0.274,0.353,0.521,0.874,pederjo01
Liover Peguero,21,PIT,NL,1,4,3,0,1,0,0,0,0,0,0,1,2,0.333,0.5,0.333,0.833,pegueli01
Jeremy Pena,24,HOU,AL,136,558,521,72,132,20,2,22,63,11,2,22,135,0.253,0.289,0.426,0.715,penaje02
David Peralta*,34,TOT,MLB,134,490,439,39,110,30,3,12,59,1,3,41,114,0.251,0.316,0.415,0.731,peralda01
David Peralta*,34,ARI,NL,87,310,278,29,69,19,2,12,41,1,2,27,74,0.248,0.316,0.46,0.777,peralda01
David Peralta*,34,TBR,AL,47,180,161,10,41,11,1,0,18,0,1,14,40,0.255,0.317,0.335,0.652,peralda01
Oswald Peraza,22,NYY,AL,18,57,49,8,15,3,0,1,2,2,0,6,9,0.306,0.404,0.429,0.832,perazos02
Geraldo Perdomo#,22,ARI,NL,148,500,431,58,84,10,2,5,40,9,2,50,103,0.195,0.285,0.262,0.547,perdoge01
Carlos Perez,25,CHW,AL,7,18,18,0,4,2,0,0,2,0,0,0,2,0.222,0.222,0.333,0.556,perezca03
Cionel Pérez,26,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,perezci01
Joe Perez,22,HOU,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perezjo02
Michael Perez*,29,TOT,NL,45,132,121,10,18,0,0,6,14,1,0,10,32,0.149,0.214,0.298,0.511,perezmi03
Michael Perez*,29,PIT,NL,39,116,107,8,16,0,0,6,11,1,0,8,26,0.15,0.209,0.318,0.526,perezmi03
Michael Perez*,29,NYM,NL,6,16,14,2,2,0,0,0,3,0,0,2,6,0.143,0.25,0.143,0.393,perezmi03
Roberto Perez,33,PIT,NL,21,69,60,8,14,2,0,2,8,0,0,9,25,0.233,0.333,0.367,0.7,perezro02
Salvador Perez,32,KCR,AL,114,473,445,48,113,23,1,23,76,0,0,18,109,0.254,0.292,0.465,0.757,perezsa02
Jace Peterson*,32,MIL,NL,112,328,288,44,68,14,2,8,34,12,1,33,85,0.236,0.316,0.382,0.698,peterja01
Tommy Pham,34,TOT,MLB,144,622,554,89,131,23,1,17,63,8,3,56,167,0.236,0.312,0.374,0.686,phamth01
Tommy Pham,34,CIN,NL,91,387,340,57,81,11,1,11,39,7,2,42,100,0.238,0.32,0.374,0.694,phamth01
Tommy Pham,34,BOS,AL,53,235,214,32,50,12,0,6,24,1,1,14,67,0.234,0.298,0.374,0.672,phamth01
Brett Phillips*,28,TOT,AL,83,225,201,22,29,6,0,5,15,7,0,16,94,0.144,0.217,0.249,0.466,phillbr02
Brett Phillips*,28,TBR,AL,75,208,184,21,27,4,0,5,14,7,0,16,85,0.147,0.225,0.25,0.475,phillbr02
Brett Phillips*,28,BAL,AL,8,17,17,1,2,2,0,0,1,0,0,0,9,0.118,0.118,0.235,0.353,phillbr02
Evan Phillips,27,LAD,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,phillev01
Kevin Pillar,33,LAD,NL,4,13,12,1,1,1,0,0,0,0,0,1,4,0.083,0.154,0.167,0.321,pillake01
Manny Pina,35,ATL,NL,5,17,14,1,2,0,0,0,2,0,0,1,1,0.143,0.235,0.143,0.378,pinama01
Chad Pinder,30,OAK,AL,111,379,361,38,85,18,0,12,42,2,0,14,118,0.235,0.263,0.385,0.648,pindech01
Israel Pineda,22,WSN,NL,4,14,13,1,1,0,0,0,0,0,0,1,7,0.077,0.143,0.077,0.22,pinedis01
Rene Pinto,25,TBR,AL,25,83,80,5,17,3,0,2,10,0,0,2,35,0.213,0.241,0.325,0.566,pintore02
Stephen Piscotty,31,OAK,AL,42,139,126,12,24,4,0,5,14,2,0,9,48,0.19,0.252,0.341,0.593,piscost01
Kevin Plawecki,31,TOT,AL,63,186,168,15,37,8,0,1,13,0,0,14,32,0.22,0.286,0.286,0.572,plaweke01
Kevin Plawecki,31,BOS,AL,60,175,157,15,34,8,0,1,12,0,0,14,28,0.217,0.287,0.287,0.574,plaweke01
Kevin Plawecki,31,TEX,AL,3,11,11,0,3,0,0,0,1,0,0,0,4,0.273,0.273,0.273,0.545,plaweke01
Nick Plummer*,25,NYM,NL,14,31,29,4,4,1,0,2,6,0,0,1,12,0.138,0.194,0.379,0.573,plummni01
Jorge Polanco#,28,MIN,AL,104,445,375,54,88,16,0,16,56,3,3,64,95,0.235,0.346,0.405,0.751,polanjo01
AJ Pollock,34,CHW,AL,138,527,489,61,120,26,1,14,56,3,1,32,98,0.245,0.292,0.389,0.681,polloaj01
Zach Pop,25,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,popza01
Zach Pop,25,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,popza01
Sean Poppen,28,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,poppese01
Nick Pratto*,23,KCR,AL,49,182,158,18,29,9,1,7,20,0,0,19,66,0.184,0.271,0.386,0.657,prattni01
David Price*,36,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,priceda01
Ford Proctor*,25,SFG,NL,7,22,18,3,2,0,0,1,6,0,0,2,3,0.111,0.182,0.278,0.46,proctfo01
Jurickson Profar#,29,SDP,NL,152,658,575,82,140,36,2,15,58,5,1,73,103,0.243,0.331,0.391,0.723,profaju01
Albert Pujols,42,STL,NL,109,351,307,42,83,14,0,24,68,1,2,28,55,0.27,0.345,0.55,0.895,pujolal01
Roman Quinn#,29,TOT,MLB,44,87,79,15,17,3,2,0,7,4,3,7,36,0.215,0.287,0.304,0.591,quinnro01
Roman Quinn#,29,PHI,NL,23,40,37,8,6,1,0,0,3,4,1,3,15,0.162,0.225,0.189,0.414,quinnro01
Roman Quinn#,29,TBR,AL,21,47,42,7,11,2,2,0,4,0,2,4,21,0.262,0.34,0.405,0.745,quinnro01
Esteban Quiroz*,30,CHC,NL,14,47,40,3,11,0,0,0,3,1,1,4,9,0.275,0.37,0.275,0.645,quiroes01
Cal Raleigh#,25,SEA,AL,119,415,370,46,78,20,1,27,63,1,0,38,122,0.211,0.284,0.489,0.774,raleica01
Luke Raley*,27,TBR,AL,22,72,61,7,12,2,0,1,4,0,0,7,24,0.197,0.306,0.279,0.584,raleylu01
Harold Ramirez,27,TBR,AL,120,435,403,46,121,24,0,6,58,3,5,19,72,0.3,0.343,0.404,0.747,ramirha02
Jose Ramirez#,29,CLE,AL,157,685,601,90,168,44,5,29,126,20,7,69,82,0.28,0.355,0.514,0.869,ramirjo01
Noe Ramirez,32,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ramirno01
Heliot Ramos,22,SFG,NL,9,22,20,4,2,0,0,0,0,0,0,2,6,0.1,0.182,0.1,0.282,ramoshe02
J.T. Realmuto,31,PHI,NL,139,562,504,75,139,26,5,22,84,21,1,41,119,0.276,0.342,0.478,0.82,realmjt01
Jake Reed,29,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,reedja02
Jake Reed,29,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,reedja02
Jake Reed,29,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,reedja02
Jake Reed,29,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,reedja02
Rob Refsnyder,31,BOS,AL,57,177,153,25,47,11,0,6,21,1,1,15,46,0.307,0.384,0.497,0.881,refsnro01
Zach Reks*,28,TEX,AL,16,34,34,3,9,1,0,0,3,0,1,0,10,0.265,0.265,0.294,0.559,reksza01
Anthony Rendon,32,LAA,AL,47,193,166,15,38,10,0,5,24,2,0,23,35,0.229,0.326,0.38,0.706,rendoan01
Hunter Renfroe,30,MIL,NL,125,522,474,62,121,23,1,29,72,1,1,39,121,0.255,0.315,0.492,0.807,renfrhu01
Luis Rengifo#,25,LAA,AL,127,511,489,45,129,22,4,17,52,6,2,17,79,0.264,0.294,0.429,0.724,rengilu01
Franmil Reyes,26,TOT,MLB,118,473,438,43,97,17,2,14,47,2,1,30,157,0.221,0.273,0.365,0.638,reyesfr01
Franmil Reyes,26,CLE,AL,70,280,263,24,56,9,0,9,28,2,0,14,104,0.213,0.254,0.35,0.603,reyesfr01
Franmil Reyes,26,CHC,NL,48,193,175,19,41,8,2,5,19,0,1,16,53,0.234,0.301,0.389,0.689,reyesfr01
Pablo Reyes,28,MIL,NL,5,16,15,1,4,0,0,0,0,0,0,1,2,0.267,0.313,0.267,0.579,reyespa01
Victor Reyes#,27,DET,AL,92,336,315,27,80,19,3,3,34,2,2,13,77,0.254,0.289,0.362,0.651,reyesvi01
