County,Bladder,Brain.and.Other.CNS,Breast,Cervix,Colon,Esophagus,HodgkinsLymphoma,KidneyRenalPelvis,Larynx,Leukemia,Liver,Lung,Melanoma,MultipleMyeloma,NonHodgkinsLymphoma,Oral,OtherSite,Ovary,Pancreas,Prostate,Stomach,Testis,Thyroid,Uterus,TotalCancerCases,area,poptotal,popdensity,popwhite,popblack,popamerindian,popasian,popother,percwhite,percblack,percamerindan,percasian,percother,popadults,perchsd,percollege,percprof,poppovertyknown,percpovertyknown,percbelowpoverty,percchildbelowpovert,percadultpoverty,percelderlypoverty,inmetro
Champaign,27,11,105,2,76,12,5,27,14,15,8,114,48,8,27,14,45,7,18,80,12,2,23,33,733,0.026,36019,1385.34615,34698,992,68,113,148,96.3324912,2.754102,0.18878925,0.31372331,0.41089425,23023,75.3898276,13.9121748,2.8971029,35404,98.2925678,8.82668625,12.3796568,6.82405567,9.93365922,0
Clark,127,38,428,23,239,36,9,98,25,58,43,483,137,29,81,63,210,25,82,207,33,5,60,90,"2,629",0.024,147548,6147.83333,133242,13031,294,653,328,90.3041722,8.83170223,0.19925719,0.44256784,0.22230054,93950,73.360298,17.784992,4.60883449,143046,96.9487895,13.4166632,20.4814416,11.095735,10.4346131,1
Clermont,151,69,493,31,320,42,15,141,36,105,66,544,201,42,148,90,270,56,111,288,52,15,69,117,"3,472",0.026,150187,5776.42308,148084,1291,218,453,141,98.5997457,0.85959504,0.14515238,0.30162398,0.09388296,91613,72.7833386,19.6893454,4.5528473,148417,98.8214692,8.69374802,11.9078721,7.0066905,9.0945467,1
Clinton,32,7,103,5,64,8,3,33,5,13,9,125,50,9,31,20,43,7,20,86,9,3,16,28,729,0.024,35415,1475.625,34471,716,59,138,31,97.3344628,2.0217422,0.16659608,0.3896654,0.08753353,21969,74.3320133,15.7631208,3.77349902,34521,97.4756459,12.2505142,14.7371682,10.6142298,13.4121622,0
Columbiana,104,24,269,15,186,27,8,83,14,55,32,309,84,21,101,50,144,22,47,181,23,7,70,72,"1,948",0.031,108276,3492.77419,106369,1409,174,219,105,98.2387602,1.30130407,0.16070043,0.20226089,0.0969744,70249,71.8003103,13.0905778,2.8797563,106943,98.7688869,15.8916432,23.2200959,13.6442561,12.0377504,1
Coshocton,40,10,87,8,62,13,6,25,13,14,9,114,43,8,41,22,52,13,16,76,7,2,14,33,728,0.034,35427,1041.97059,34819,415,68,112,13,98.2837948,1.17142293,0.191944,0.31614305,0.03669518,22878,71.3305359,11.6793426,2.42154034,34833,98.3233127,13.188643,17.751112,11.1867496,12.1505376,0
Crawford,38,10,95,6,66,18,6,32,8,18,12,151,27,15,32,15,76,6,26,70,8,3,24,36,798,0.023,47870,2081.30435,47361,253,67,116,73,98.9367036,0.52851473,0.1399624,0.24232296,0.15249634,30958,73.8193682,14.258027,2.9717682,47189,98.5773971,11.5916845,15.418153,10.1218333,10.4140383,1
Cuyahoga,"1,084",260,"3,552",135,"2,146",241,132,762,203,550,476,"3,206",964,373,935,561,"1,826",262,713,"2,904",355,99,694,907,"23,340",0.026,1412140,54313.0769,1025756,350185,2533,18085,15581,72.638407,24.7981787,0.17937315,1.28068039,1.10336086,943924,74.0130561,25.0853882,7.35673635,1388547,98.3292733,13.7661167,21.5809764,11.6755057,10.213391,1
Darke,49,11,126,8,96,10,4,49,9,10,5,118,62,9,34,23,63,5,29,62,13,4,19,37,855,0.036,53619,1489.41667,53067,184,96,114,158,98.9705142,0.34316194,0.17904101,0.2126112,0.29467166,34048,73.4580592,13.475094,3.21898496,52557,98.0193588,8.98643378,12.1345723,7.14033102,9.59320612,0
Defiance,35,11,84,1,81,8,4,25,7,23,6,102,17,14,32,20,50,14,12,85,6,2,13,19,671,0.023,39350,1710.86957,36962,493,80,121,1694,93.931385,1.25285896,0.20330368,0.30749682,4.30495553,24362,76.7670963,18.1881619,3.44388802,38386,97.5501906,8.7584015,11.4322065,7.11092484,9.76641842,0
Delaware,112,37,484,19,218,32,13,112,13,64,24,288,159,42,125,84,192,27,84,454,35,15,90,103,"2,826",0.027,66929,2478.85185,64888,1424,104,385,128,96.9504998,2.12762778,0.15538855,0.57523644,0.19124744,41799,84.3728319,31.5940573,9.34232876,63986,95.602803,5.67311599,6.5723747,4.52441077,9.06414817,1
Erie,79,18,189,6,150,19,8,67,18,36,19,232,103,26,65,50,126,12,40,178,24,7,69,61,"1,602",0.014,76779,5484.21429,69613,6312,150,265,439,90.6667188,8.22099793,0.19536592,0.34514646,0.57177093,50112,76.2392241,18.7380268,4.63761175,75406,98.2117506,8.98602233,12.6682741,7.13811263,9.33003597,0
Fairfield,129,43,357,16,163,28,19,112,18,62,38,342,141,38,103,71,181,31,75,327,36,7,67,106,"2,510",0.029,103461,3567.62069,101610,1153,193,378,127,98.2109201,1.11442959,0.18654372,0.36535506,0.12275157,65269,78.751015,21.0773874,4.84763058,100916,97.5401359,8.77759721,11.6821249,6.9252938,10.5373526,1
Fayette,20,6,81,10,65,8,2,23,5,17,11,102,27,4,22,17,41,6,13,40,6,4,11,20,561,0.024,27466,1144.41667,26593,662,50,102,59,96.8215248,2.41025268,0.18204325,0.37136824,0.21481104,17854,65.2850902,11.8740898,2.14517755,26886,97.8882983,16.2203377,21.9505379,13.5346455,15.9820151,0
Franklin,663,270,"2,785",156,"1,373",165,103,678,114,379,332,"2,376",757,231,739,453,"1,317",182,534,"2,281",243,86,556,732,"17,505",0.034,961437,28277.5588,783714,152840,2056,19437,3390,81.5148574,15.8970375,0.21384657,2.02166133,0.35259721,597303,80.9987561,32.204593,9.14092178,935142,97.2650314,12.9900058,17.6378685,11.8183828,9.74934856,1
Fulton,37,18,105,2,71,10,4,29,5,21,9,103,32,7,34,27,47,10,23,93,10,0,19,31,747,0.025,38498,1539.92,37097,93,62,137,1109,96.3608499,0.24157099,0.16104733,0.35586264,2.88066913,23846,78.2563113,16.4765579,3.3296989,37995,98.6934386,6.22976707,7.58154831,4.93982309,8.1255161,1
Gallia,27,7,70,5,49,13,7,24,7,20,11,118,23,8,26,22,59,10,14,59,12,3,14,14,622,0.026,30954,1190.53846,29831,871,79,136,37,96.3720359,2.81385281,0.25521742,0.43936163,0.11953221,19586,64.1784948,14.9341366,4.32451751,29824,96.3494217,22.4885998,28.4607819,19.7789588,21.7653936,0
Geauga,106,26,301,8,161,13,10,51,9,52,27,206,124,30,81,36,131,23,46,212,20,8,61,74,"1,816",0.024,81129,3380.375,79629,1056,83,312,49,98.1510927,1.30163074,0.1023062,0.38457272,0.06039764,51290,82.0413336,31.6279977,9.12263599,80419,99.1248505,5.55217051,8.49137931,4.10188194,5.40397817,1
Greene,124,55,425,15,212,36,13,110,14,51,33,351,180,30,104,67,196,43,74,265,33,11,84,103,"2,629",0.025,136731,5469.24,124081,9611,398,2133,508,90.7482575,7.02913019,0.29108249,1.55999737,0.37153242,83757,82.3740105,31.956732,11.061762,130134,95.175198,9.49098621,12.0735213,8.7175598,7.88356241,1
Guernsey,40,6,78,8,90,13,2,17,8,24,15,169,26,10,32,25,56,5,17,83,8,5,23,37,797,0.032,39024,1219.5,38166,616,70,141,31,97.801353,1.57851579,0.17937679,0.36131611,0.07943829,25188,71.3593775,13.5143719,2.57265364,38112,97.6629766,17.4721872,24.3214731,15.0734936,14.3717608,0
Hamilton,476,187,"2,077",108,"1,142",140,65,496,114,319,274,"2,026",658,192,507,344,"1,110",169,420,"1,550",153,52,270,443,"13,292",0.025,866228,34649.12,672972,181145,1204,9198,1709,77.6899384,20.9119308,0.13899343,1.06184515,0.19729217,551233,75.6496799,29.7883109,8.6172272,846909,97.7697558,13.2924553,19.570569,11.169832,10.6960613,1
Hancock,74,22,181,4,113,13,5,45,9,32,10,184,71,14,64,38,104,16,30,126,10,4,60,39,"1,268",0.031,65536,2114.06452,63572,591,91,401,881,97.0031738,0.90179443,0.13885498,0.61187744,1.34429932,41492,82.919599,24.4504965,5.54564735,64198,97.958374,7.27748528,8.45006003,6.51807196,7.93665845,0
Hardin,32,6,74,7,62,9,1,26,6,9,6,86,20,7,20,13,46,11,12,58,5,3,22,30,571,0.028,31111,1111.10714,30661,236,66,115,33,98.5535663,0.75857414,0.21214361,0.36964418,0.10607181,18589,73.9523374,16.0309861,4.32513852,29111,93.5714056,16.3821236,21.816574,14.9368203,12.5945537,0
Harrison,11,3,48,4,27,6,1,14,4,4,5,40,13,3,10,7,11,3,14,41,5,0,9,15,298,0.025,16085,643.4,15645,393,22,15,10,97.2645322,2.44327013,0.13677339,0.09325459,0.06216972,10726,69.7557337,10.5537945,1.96718255,15808,98.2778987,19.6988866,29.3435341,18.2995358,11.9607843,0
Henry,30,8,63,3,43,7,3,11,2,18,5,76,21,5,23,10,28,4,15,56,4,7,14,22,478,0.025,29108,1164.32,27951,147,53,95,862,96.0251477,0.5050158,0.18208053,0.32637076,2.96138519,18245,75.4343656,15.2589751,2.65826254,28491,97.8803078,6.96360254,8.67297428,5.1076843,9.92209922,0
Highland,50,15,96,9,82,11,4,39,8,25,17,130,34,13,35,24,76,9,24,95,8,4,25,36,869,0.034,35728,1050.82353,34876,692,73,71,16,97.6153157,1.93685625,0.20432154,0.19872369,0.0447828,22784,66.4808638,12.3112711,2.49297753,35314,98.841245,16.4835476,19.4384226,14.3413749,18.1541141,0
Hocking,25,5,68,5,53,8,1,20,6,12,6,81,28,11,26,20,45,7,8,40,8,2,12,20,517,0.024,25533,1063.875,25199,234,55,25,20,98.6918889,0.91646105,0.21540751,0.09791251,0.07833,16368,67.8457967,12.85435,2.71260997,24857,97.3524459,15.7098604,20.7745956,13.4820216,14.9915234,0
Holmes,11,15,60,2,56,7,1,14,8,18,9,67,35,7,29,12,33,9,7,43,3,4,10,18,478,0.025,32849,1313.96,32706,52,24,43,24,99.5646747,0.1583001,0.07306158,0.13090201,0.07306158,17780,46.912261,9.33070866,1.72665917,31830,96.8979269,17.2447377,24.5171128,12.3522422,15.3579391,0
Huron,68,10,159,12,87,23,3,46,12,32,11,136,58,17,33,34,75,14,27,111,15,5,32,30,"1,050",0.03,56240,1874.66667,54982,597,85,153,423,97.7631579,1.06152205,0.15113798,0.27204836,0.75213371,34521,74.131688,13.4497842,2.95472321,55535,98.7464438,9.50391645,13.0375596,8.02076192,8.16840178,0
Jackson,35,10,68,5,58,11,3,30,13,13,8,120,31,5,20,15,50,9,21,65,8,0,16,23,637,0.024,30230,1259.58333,29895,218,53,39,25,98.8918293,0.72113794,0.17532253,0.12901092,0.08269931,19136,60.8800167,10.9845318,2.95255017,29874,98.8223619,24.1882573,30.1736614,21.0996006,24.1633681,0
Jefferson,69,23,178,12,125,16,8,61,22,36,32,226,56,22,50,37,101,12,43,141,24,2,75,51,"1,422",0.022,80298,3649.90909,75270,4488,167,266,107,93.7383247,5.5891803,0.20797529,0.33126603,0.13325363,54294,71.879029,13.8431503,2.81799094,78510,97.7732945,17.1494077,26.2505981,15.7419355,10.8577511,1
Knox,54,12,162,8,103,13,9,30,14,37,17,171,70,9,53,20,89,11,46,133,11,4,51,46,"1,173",0.03,47473,1582.43333,46747,381,93,195,57,98.4707097,0.80256146,0.19590083,0.4107598,0.12006825,29992,75.2000533,16.771139,4.2011203,44269,93.2509005,12.4511509,18.1717025,10.5853414,9.88372093,0
Lake,268,67,679,30,367,42,27,157,32,141,69,669,270,68,188,122,330,51,118,425,57,19,135,169,"4,500",0.013,215499,16576.8462,209879,3528,250,1447,395,97.3920993,1.63713057,0.11600982,0.67146483,0.18329551,142348,81.0520696,23.6828055,5.20274257,213036,98.8570713,4.89729435,7.14098582,3.93348514,4.90623387,1
Lawrence,60,11,164,13,114,24,4,60,17,37,25,236,62,18,56,35,100,8,36,104,15,4,45,53,"1,301",0.026,61834,2378.23077,60115,1559,57,75,28,97.2199761,2.52126662,0.09218229,0.12129249,0.04528253,39219,65.8787832,12.2083684,3.14643413,61007,98.6625481,23.5399216,33.2300024,21.1064359,16.3875266,1
Licking,155,43,493,23,259,31,15,125,28,83,46,517,186,25,107,89,217,45,70,362,35,14,95,127,"3,190",0.04,128300,3207.5,125181,2217,247,475,180,97.568979,1.72798129,0.19251754,0.37022603,0.14029618,81642,76.4251243,18.1793685,4.53565567,124678,97.1769291,10.4998476,14.7950733,8.84336678,9.29430267,1
Logan,59,14,94,3,82,9,1,35,7,32,12,140,58,15,38,20,81,19,18,102,10,0,23,28,900,0.027,42310,1567.03704,41156,804,58,240,52,97.2725124,1.90025999,0.13708343,0.56724179,0.12290239,26780,74.4884242,13.3233757,3.33457804,41566,98.2415505,10.4676899,13.5485,9.22106393,9.52197379,0
Lorain,264,70,803,50,444,72,28,191,51,121,109,785,283,69,221,140,415,54,162,724,67,39,188,182,"5,532",0.029,271126,9349.17241,241549,21230,738,1479,6130,89.0910499,7.83030768,0.27219817,0.54550283,2.26094141,169492,75.2820192,18.8616572,4.283978,265062,97.7634015,11.4912737,17.386122,9.42837411,8.42662074,1
Lucas,365,99,974,58,633,90,44,277,69,165,130,"1,028",319,112,281,206,505,94,247,909,109,30,196,258,"7,198",0.021,462361,22017.1905,380155,68456,1164,4981,7605,82.2203862,14.805747,0.25175134,1.07729674,1.64481866,289965,76.2340282,23.5504285,6.00589726,454351,98.2675874,15.268812,21.4916528,13.4944573,11.4228016,1
Madison,22,7,90,3,71,8,3,37,11,23,13,115,48,6,37,23,53,6,25,75,7,7,15,14,719,0.028,37068,1323.85714,33947,2764,96,157,104,91.5803388,7.45656631,0.25898349,0.42354592,0.28056545,23896,69.4928021,13.3788082,2.67408771,32904,88.7665911,8.4275468,11.2765492,7.12069334,8.11343048,1
Mahoning,255,56,633,27,418,64,24,152,40,104,84,564,180,53,219,104,301,56,135,500,72,11,90,148,"4,290",0.024,264806,11033.5833,221109,39681,444,985,2587,83.4984857,14.9849324,0.16766992,0.37197042,0.97694161,176658,74.6006408,18.1757973,4.52342945,260264,98.2847821,15.9196047,25.0271849,13.8501553,10.7028532,1
Marion,43,16,158,5,126,13,2,58,12,37,27,251,45,14,51,36,109,6,31,103,19,5,39,42,"1,248",0.024,64274,2678.08333,60948,2707,148,285,186,94.8252793,4.21165635,0.23026418,0.44341413,0.28938607,41239,73.7578506,15.0270375,3.04323577,61526,95.7245543,12.7133244,18.2830355,10.7493876,10.0189036,0
Medina,136,43,455,9,267,48,10,124,19,112,38,395,198,48,150,74,249,43,66,496,40,17,119,115,"3,271",0.025,122354,4894.16,120504,850,172,684,144,98.4879939,0.69470553,0.14057571,0.55903362,0.11769129,76962,82.3978067,23.7026065,4.88552792,121055,98.9383265,5.52063112,7.85156137,4.21102969,6.32405892,1
Meigs,25,10,56,5,48,10,1,14,6,16,4,82,17,12,16,13,37,5,14,49,0,2,11,16,469,0.025,22987,919.48,22734,177,44,20,12,98.8993779,0.77000044,0.19141254,0.0870057,0.05220342,14772,64.0265367,11.677498,2.38288654,22665,98.5992082,26.0092654,34.9729464,23.6672906,19.9579341,0
Mercer,37,13,89,6,61,11,3,29,8,13,6,86,43,12,33,16,53,8,22,102,6,1,15,32,705,0.028,39443,1408.67857,39131,14,85,100,113,99.2089851,0.03549426,0.21550085,0.25353041,0.28648936,23780,75.4793944,14.1000841,3.32632464,38961,98.7779834,6.70414004,7.62704884,5.68931069,8.04411765,0
Miami,101,30,307,14,178,29,3,88,14,35,23,260,143,10,77,45,132,20,58,171,29,10,54,60,"1,891",0.024,93182,3882.58333,90519,1779,158,606,120,97.1421519,1.90916701,0.16956064,0.65034019,0.12878024,59893,76.5665437,19.2777119,4.43457499,92127,98.8678071,8.35151476,12.3240006,6.30440618,8.91394114,1
Monroe,14,3,30,2,25,5,0,14,3,5,1,48,12,3,9,7,20,3,11,45,2,1,18,10,291,0.026,15497,596.038462,15437,19,26,12,3,99.6128283,0.12260438,0.16777441,0.07743434,0.01935859,10196,69.4488035,10.513927,2.59905845,15276,98.5739175,21.4912281,28.809219,18.6889987,19.7591146,0
Montgomery,439,119,"1,477",71,764,111,48,362,96,204,196,"1,545",537,105,373,270,757,119,257,922,131,43,225,348,"9,519",0.027,573809,21252.1852,463551,101817,1065,5886,1490,80.7848953,17.7440577,0.18560183,1.02577687,0.25966829,371530,77.7571125,26.5504804,7.0042796,561952,97.933633,12.6286587,19.4520723,10.6043371,9.44086822,1
Morgan,12,5,43,1,27,5,2,9,6,9,6,62,9,1,11,7,17,1,10,27,1,2,7,16,296,0.025,14194,567.76,13524,570,64,12,24,95.2796956,4.01578132,0.45089474,0.08454276,0.16908553,8980,71.5812918,11.3808463,2.31625835,13924,98.0977878,21.2079862,31.325,17.9487179,14.8148148,0
Morrow,27,11,81,5,57,7,6,33,1,19,10,112,25,5,23,26,56,7,14,83,4,5,8,24,649,0.024,27749,1156.20833,27579,64,49,38,19,99.3873653,0.23063894,0.17658294,0.13694187,0.06847094,17158,71.3253293,12.1051405,2.54691689,27440,98.8864464,11.0750729,17.3749057,8.39833593,8.89809849,0
Muskingum,78,24,236,6,119,24,8,53,18,50,26,307,109,10,57,62,111,16,42,200,15,5,37,70,"1,683",0.041,82068,2001.65854,78125,3468,214,152,109,95.1954477,4.225764,0.26075937,0.18521226,0.13281669,51692,71.140602,15.3234543,3.57308674,80009,97.4911049,14.7208439,21.3569812,12.6231667,11.137507,0
Noble,13,4,27,1,30,6,0,13,2,4,3,44,8,2,12,9,14,0,5,25,3,2,4,8,239,0.024,11336,472.333333,11301,7,15,9,4,99.6912491,0.06175018,0.13232181,0.07939308,0.03528582,7235,69.8548721,8.84588804,1.57567381,11176,98.5885674,16.3743737,22.7357901,12.8071997,16.4845173,0
Ottawa,52,13,131,10,103,13,5,25,12,20,8,122,58,21,34,25,71,10,25,120,14,0,27,37,956,0.016,40029,2501.8125,39029,265,51,94,590,97.5018112,0.66202004,0.12740763,0.23482975,1.4739314,26931,75.8568193,19.338309,4.21447403,39392,98.4086537,6.61301787,9.54335557,5.25392428,6.72342557,0
Paulding,16,6,35,1,26,1,2,17,4,9,1,61,17,5,15,9,26,6,11,47,6,1,7,13,342,0.025,20488,819.52,19920,236,54,20,258,97.2276455,1.15189379,0.26356892,0.09761812,1.25927372,12456,72.2302505,11.4884393,2.82594733,20298,99.0726279,9.78914179,11.9703215,8.16975645,11.2109012,0
Perry,33,5,90,4,48,10,4,23,6,12,6,131,32,7,26,20,39,3,12,73,7,1,20,24,636,0.023,31557,1372.04348,31408,57,46,21,25,99.5278385,0.18062553,0.14576798,0.06654625,0.07922173,19411,68.5539127,10.1076709,2.18432847,31255,99.0430016,19.0657495,25.3889985,16.3782957,16.7218221,0
Pickaway,47,16,123,7,101,12,8,45,13,29,21,188,47,8,48,26,70,12,33,86,20,5,31,37,"1,033",0.03,48255,1608.5,44867,3036,127,95,130,92.9789659,6.291576,0.26318516,0.19687079,0.26940213,31380,69.7100064,13.0943276,2.93499044,42392,87.8499637,12.0777505,16.3463189,9.94214435,12.4391393,1
Pike,31,8,69,7,44,8,5,25,9,16,14,113,26,6,23,14,37,6,15,53,4,2,18,22,575,0.026,24249,932.653846,23807,327,72,41,2,98.1772444,1.34850922,0.29691946,0.16907914,0.00824776,15099,60.7722366,12.4445328,3.23862507,23830,98.2720937,26.5757449,36.915078,22.2239587,22.7062546,0
Portage,139,44,391,22,238,34,10,95,21,70,46,395,152,47,117,74,204,38,82,297,42,16,78,119,"2,771",0.03,142585,4752.83333,136998,3906,292,1191,198,96.0816355,2.73941859,0.20479013,0.83529123,0.13886454,82726,79.3100114,21.8818751,6.58680463,133447,93.5911912,11.9088477,13.3814451,12.1537341,7.97863462,1
Preble,49,12,102,6,76,12,4,34,4,21,9,153,43,6,26,15,57,9,23,60,8,6,25,30,790,0.025,40113,1604.52,39819,147,53,65,29,99.2670705,0.36646474,0.13212674,0.16204223,0.07229576,25469,72.4606384,11.233264,2.39899486,39614,98.7560143,10.1883173,15.565561,8.12505639,8.24067022,0
Putnam,30,5,91,4,57,7,5,29,5,18,5,78,39,6,19,11,35,7,13,90,4,5,22,22,607,0.029,33819,1166.17241,33197,26,44,25,527,98.1607972,0.07687986,0.13010438,0.07392294,1.55829563,20028,77.5064909,15.7080088,2.8060715,33390,98.7314823,5.75621444,7.14017991,4.23869967,7.95176182,0
Richland,104,34,263,11,226,35,18,83,19,82,38,381,83,38,104,57,197,45,53,274,23,6,53,92,"2,319",0.029,126137,4349.55172,115078,9981,223,578,277,91.2325487,7.91282494,0.1767919,0.45823192,0.2196025,81363,73.5321952,16.7975615,3.42170274,122328,96.9802675,11.2517167,16.4937951,8.9708687,10.6330901,1
Ross,67,17,174,10,120,21,5,64,20,46,39,247,80,19,54,45,118,12,49,142,17,12,32,42,"1,452",0.041,69330,1690.97561,64362,4467,155,266,80,92.8342709,6.44309823,0.22356844,0.38367229,0.11539016,45531,67.5803299,14.1156575,2.99795744,63449,91.5173806,17.7496887,24.8676325,15.0094603,15.4179338,0
Sandusky,60,12,188,11,121,14,2,39,13,32,20,148,55,14,63,25,73,16,32,140,14,1,30,43,"1,166",0.024,61963,2581.79167,58282,1553,94,142,1892,94.059358,2.50633443,0.15170344,0.22916902,3.05343511,38993,76.6163157,16.2824097,3.40061037,60811,98.140826,8.99672757,12.030513,7.50127931,8.76451954,0
Scioto,64,14,184,11,112,16,5,55,21,40,34,279,73,14,53,45,136,15,34,129,17,5,49,50,"1,455",0.035,80327,2295.05714,77253,2458,409,126,81,96.1731423,3.05999228,0.50916877,0.15685884,0.10083783,51585,63.7569061,13.7772608,3.17534167,76736,95.5295231,25.7923269,37.6523745,23.5231677,15.1068091,0
Seneca,60,18,145,7,100,10,6,40,6,17,4,135,46,18,36,24,74,12,29,82,12,9,19,33,942,0.033,59733,1810.09091,57474,1172,90,234,763,96.2181709,1.96206452,0.15067048,0.39174326,1.27735088,36666,75.2604593,15.6221022,3.03005509,57655,96.5211859,10.7518862,14.3172859,9.29836624,9.27675988,0
Shelby,51,10,112,10,73,14,3,32,8,17,10,101,50,9,28,18,39,9,25,67,7,5,19,29,746,0.025,44915,1796.6,43789,615,49,393,69,97.4930424,1.36925303,0.10909496,0.87498608,0.15362351,27365,72.943541,17.3762105,3.66892015,44127,98.245575,7.74582455,10.54634,5.95581568,8.73122118,0
Stark,401,100,993,49,556,82,31,266,73,151,88,"1,066",401,96,279,208,577,82,181,828,91,35,146,235,"7,015",0.034,367585,10811.3235,339421,25052,950,1529,633,92.3380987,6.81529442,0.25844363,0.41595821,0.17220507,241153,76.0090067,18.9896041,4.62030329,359231,97.7273284,11.0605711,16.399197,9.51066888,8.45844662,1
Summit,455,139,"1,493",49,764,90,49,300,77,296,155,"1,295",518,137,398,231,735,114,287,"1,079",125,51,257,338,"9,432",0.024,514990,21457.9167,446902,61185,1065,4989,849,86.7787724,11.8808132,0.20680013,0.96875667,0.16485757,337442,78.3393887,24.7331393,6.25529721,506100,98.2737529,12.1499704,18.0813265,10.8654209,8.22432118,1
Trumbull,248,47,526,24,394,56,15,113,40,111,68,634,246,36,167,115,255,30,129,439,62,19,86,128,"3,988",0.037,227813,6157.10811,210915,15221,341,973,363,92.5825129,6.68135708,0.14968417,0.42710469,0.15934121,149822,75.2492958,15.5998451,3.78849568,225230,98.8661753,11.4047862,16.9653149,9.38910671,9.85596375,1
Tuscarawas,104,23,226,15,158,17,5,74,25,22,17,262,111,13,55,62,119,20,53,217,20,10,33,75,"1,736",0.034,84090,2473.23529,83107,623,138,187,35,98.8310144,0.74087287,0.16410988,0.22238078,0.04162207,55192,71.9180316,13.0834179,3.02036527,82852,98.5277679,11.1222421,14.39584,9.78198126,10.4047334,1
Union,38,10,97,16,54,10,8,36,8,19,9,111,48,16,40,30,57,6,24,83,14,5,39,23,801,0.026,31969,1229.57692,30563,1168,57,132,49,95.6019894,3.65353937,0.17829773,0.4129,0.15327348,20527,76.1631023,16.9825108,3.84858966,30117,94.2068879,7.43101903,9.46814728,5.77602449,9.76408912,0
